Model,FPS,,
model_explorer_imagenet_mobilenet_v3_large_075_224_feature_vector_19188b8fc6bfbf1475a81462672bdbeb_TFHub,326.1795,,
model_explorer_Estacao-pilhas-pi2_battery-analyser_GitHub,814.2047,,
model_explorer_NVIDIA-ISAAC-ROS_isaac_ros_dnn_stereo_disparity_GitHub,5.947719,,
model_explorer_MobileNetV2_b41676ee67842101d342dd88961ddea4_Coral,1068.563,,
model_explorer_NathaAix_detection_GitHub,213.1501,,
model_explorer_yuradanyliuk_AutomaticParking_GitHub_2,2591.569,,
model_explorer_imagenet_mobilenet_v2_035_96_classification_609b09cce2876554dad240ce7b28cef1_TFHub,2298.861,,
model_explorer_mnasnet_1.3_224_d4c5d0f37ae34012f0d2e961e8249639_TFHub,1072.757,,
model_explorer_mobilenet_v1_0.50_160_quantized_b64d8c4c26a5574eb6bc7054416e38ff_TFHub,2041.97,,
model_explorer_navn-r_yuHacks21_GitHub,2295.168,,
model_explorer_batu_ProjNar_GitHub_1,2307.799,,
model_explorer_adit-g_willow_GitHub,2314.51,,
model_explorer_mp_face_detection_short_range_local_model,2359.808,,
model_explorer_yolov1_tiny_local_model,263.8894,,
model_explorer_SynergyNet_bd634b56ca115616db0e1cc2a0459f5d_PINTO_1,2368.416,,
model_explorer_mobilenetv2-ssdlite_4254f13f8c85cb87bacaeae0d0bab7eb_PINTO_2,567.8241,,
model_explorer_MiesnerJacob_computer-vision-streamlit_GitHub,2468.062,,
model_explorer_alejoortizd_test_GitHub,2335.541,,
model_explorer_imagenet_mobilenet_v3_small_075_224_feature_vector_87fd5db86edd3e410b475581fe33c557_TFHub,326.2278,,
model_explorer_MobileOne_d3705525e4cfc3ebe256dda46b488605_PINTO_1,1063.576,,
model_explorer_face_attr_resnet_v1_18_a3c4d9cfdcd350ef27b5ad17044a97ec_Hailo,341.6665,,
model_explorer_HHP-Net_821b130f29bfe641c1f1d4434a3674b4_PINTO_28,2547.935,,
model_explorer_torinmb_mediapipe-touchdesigner_GitHub_7,407.6947,,
model_explorer_PP-LCNetV2_74a1019134f7a3775833d121b9486efd_PINTO_4,1090.947,,
model_explorer_raytheonbbn_tak-ml_GitHub_1,1073.658,,
model_explorer_imagenet_mobilenet_v1_025_192_classification_b8e402df2a973fbe9dd23cf71a42756e_TFHub,1549.649,,
model_explorer_AntiSpoofNet_07795bfa63d564c86bc5b21bc5ec91bb_OpenVINO,2285.348,,
model_explorer_RegNetX002_94e18f2b57390d662f4b89588a40ec3c_KerasApps,1039.224,,
model_explorer_yolov3-lite_54861eb28f72c109b69d2110ba8cde5c_PINTO_4,526.3582,,
model_explorer_opencv_opencv_zoo_GitHub_5,297.4847,,
model_explorer_mrdakj_letters_GitHub,2291.07,,
model_explorer_efficientnet_lite1_classification_aa4301730a28e9fcd33556a0640f4ce1_TFHub,946.402,,
model_explorer_onnx_models_GitHub_119,1072.28,,
model_explorer_steverab_failing-loudly_GitHub_2,2353.421,,
model_explorer_MobileNetV11.0224_a29aa60fa7b17e5dde663a7afa14a63b_OpenVINO_1,1074.376,,
model_explorer_TheJacksonLaboratory_CUP-AI-Dx_GitHub,872.3362,,
model_explorer_Speech-enhancement_b160abe9c8b1b7a73b132577c018bd94_PINTO_6,780.3725,,
model_explorer_openvinotoolkit_openvino_GitHub_11,488.503,,
