Model,FPS
model_explorer_GGolfz_Papaya-Backend_GitHub,600.3864
model_explorer_gitguige_openpilot0.8.9_GitHub_1,1017.264
model_explorer_googlenet_local_model,1085.775
model_explorer_gordinmitya_dnn_benchmark_GitHub,1571.574
model_explorer_gordinmitya_dnn_benchmark_GitHub_1,1584.281
model_explorer_gordinmitya_dnn_benchmark_GitHub_3,1565.853
model_explorer_gpunet0_local_model,377.7559
model_explorer_Graft-PSMNet_898d0e12e1def41cd880d4ca8e9f6cc7_PINTO_6,25.80482
model_explorer_greenelab_core-accessory-interactome_GitHub,2464.84
model_explorer_greenelab_generic-expression-patterns_GitHub_1,2435.643
model_explorer_hand_recrop_d0cd901ee9e65a855937a0823a3a68b6_PINTO_6,1428.004
model_explorer_hanyax_simd_gpu_profilling_GitHub,513.8766
model_explorer_har932_Pneumonia-Detection_GitHub,195.0014
model_explorer_hardnet39ds_faff4e149a7586471f3ea8f297fed03f_Hailo,951.3547
model_explorer_Harp0n_DermaApp_GitHub,1513.505
model_explorer_hayden-donnelly_ntg-unity_GitHub_3,99.78391
model_explorer_hayden-donnelly_ntg-unity_GitHub_4,25.19146
model_explorer_hayden-donnelly_ntg-unity_GitHub_5,99.78841
model_explorer_hayden-donnelly_ntg-unity_GitHub_6,25.19169
model_explorer_hayden-donnelly_ntg-unity_GitHub_8,25.19127
model_explorer_HBONet0.25_7117475a66cad230a8fb88792121e0d1_OpenVINO,1553.962
model_explorer_HBONet1.0_66b1ecc71c056996ce9c0a8470aedc86_OpenVINO,1426.462
model_explorer_hbuenostaubi_crimeapp_GitHub,2337.397
model_explorer_hf-internal-testing_tiny-random-resnet_1c891d4e83bfef5f823672e05e771592_HuggingFace,1500.467
model_explorer_HHP-Net_821b130f29bfe641c1f1d4434a3674b4_PINTO,2753.075
model_explorer_HHP-Net_821b130f29bfe641c1f1d4434a3674b4_PINTO_28,2727.396
model_explorer_hotg-ai_rune_GitHub_2,2434.8
model_explorer_hotg-ai_rune_GitHub_3,2466.15
model_explorer_hotg-ai_rune_GitHub_4,2475.401
model_explorer_human-pose-estimation-3d-0001_f493762d4a7455b8364d2c381399f3f8_OpenVINO,245.4114
model_explorer_hwajlee_TIL_GitHub,2461.934
model_explorer_hwajlee_TIL_GitHub_1,2310.865
model_explorer_hwajlee_TIL_GitHub_2,2418.849
model_explorer_hwajlee_TIL_GitHub_3,2356.944
model_explorer_hwajlee_TIL_GitHub_4,2410.932
model_explorer_hwajlee_TIL_GitHub_5,2400.38
model_explorer_hwajlee_TIL_GitHub_6,2355.689
