#,Model,target_system,chips,Frames,Total Runs,Finished Runs,Min FPS,Max FPS,Avg FPS,Delta FPS,Min Latency,Max Latency,Avg Latency,Delta Latency,Commit,Start Time (UTC)
149,k_real_efficientnetv2b0_performance_cascade_plus,Cascade+,2,5,1,1,731.8991156585115,731.8991156585115,731.9,0.0,8.907409363745499,8.907409363745499,8.9,-1.1,'5558f3e9a',2024-05-08 17:00:55
150,k_real_efficientnetb0_performance_cascade_plus,Cascade+,2,5,1,1,595.4314751653966,595.4314751653966,595.4,-0.0,9.803002400960384,9.803002400960384,9.8,-2.0,'5558f3e9a',2024-05-08 17:00:55
151,onnx_real_yolox_s_416x416_ti_lite_performance_cascade_plus,Cascade+,1,5,1,1,49.23121585323164,49.23121585323164,49.2,0.0,27.257420168067227,27.257420168067227,27.3,0.0,'5558f3e9a',2024-05-08 17:00:55
152,k_real_jumpnet_152_performance_cascade_plus,Cascade+,4,5,1,1,54.34621632247179,54.34621632247179,54.3,0.0,57.36483073229292,57.36483073229292,57.4,0.0,'5558f3e9a',2024-05-08 17:00:55
153,tfl_real_insects_v1_performance_cascade_plus,Cascade+,1,5,1,1,867.1356624895642,867.1356624895642,867.1,0.0,3.686636254501801,3.686636254501801,3.7,0.0,'5558f3e9a',2024-05-08 17:00:55
154,onnx_real_centernet_mobilenetv2_kpts_performance_cascade_plus,Cascade+,1,5,1,1,139.13730195901312,139.13730195901312,139.1,0.0,8.065517406962785,8.065517406962785,8.1,0.0,'5558f3e9a',2024-05-08 17:00:55
155,onnx_real_ultraface_320_performance_cascade_plus,Cascade+,1,5,1,1,1904.6704439962866,1904.6704439962866,1904.7,0.0,1.0087394957983193,1.0087394957983193,1.0,0.0,'5558f3e9a',2024-05-08 17:00:55
156,k_real_pspnet_performance_cascade_plus,Cascade+,1,5,1,1,111.77673208311573,111.77673208311573,111.8,0.0,11.071893157262906,11.071893157262906,11.1,0.0,'5558f3e9a',2024-05-08 17:00:55
157,k_real_pspnet_resnet50_performance_cascade_plus,Cascade+,3,5,1,1,43.67054323560717,43.67054323560717,43.7,0.0,44.34326650660264,44.34326650660264,44.3,0.0,'5558f3e9a',2024-05-08 17:00:55
158,k_real_inceptionv4_performance_cascade_plus,Cascade+,5,5,1,1,150.2537583957444,150.2537583957444,150.3,0.3,25.267447779111645,25.267447779111645,25.3,0.4,'5558f3e9a',2024-05-08 17:00:55
159,k_real_densenet121_performance_cascade_plus,Cascade+,2,5,1,1,230.44432321296375,230.44432321296375,230.4,0.0,18.339569027611045,18.339569027611045,18.3,0.0,'5558f3e9a',2024-05-08 17:00:55
160,tf_real_ssdmobilenet_v2_performance_cascade_plus,Cascade+,1,5,1,1,410.4739347819499,410.4739347819499,410.5,0.0,6.324752701080432,6.324752701080432,6.3,0.0,'5558f3e9a',2024-05-08 17:00:55
161,pt_real_mobilenet3d_performance_cascade_plus,Cascade+,1,5,1,1,700.5486650048609,700.5486650048609,700.5,0.0,2.769623049219688,2.769623049219688,2.8,0.0,'5558f3e9a',2024-05-08 17:00:55
162,pt_real_lraspp_mobilenet_v3_large_performance_cascade_plus,Cascade+,3,5,1,1,237.08475125241515,237.08475125241515,237.1,0.0,17.03947899159664,17.03947899159664,17.0,0.0,'5558f3e9a',2024-05-08 17:00:55
163,tf_real_yolov5n_leaky_416_performance_cascade_plus,Cascade+,1,5,1,1,253.66887259107833,253.66887259107833,253.7,0.0,5.861080432172869,5.861080432172869,5.9,0.0,'5558f3e9a',2024-05-08 17:00:55
164,onnx_real_bisenet_performance_cascade_plus,Cascade+,0,5,1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,'5558f3e9a',2024-05-08 17:00:55
165,tf_real_license_plate_recog_performance_cascade_plus,Cascade+,1,5,1,1,2812.483645897167,2812.483645897167,2812.5,0.0,1.0163673469387755,1.0163673469387755,1.0,0.0,'5558f3e9a',2024-05-08 17:00:55
166,tfl_real_efficientdet_lite3_performance_cascade_plus,Cascade+,9,5,1,1,155.0549640064937,155.0549640064937,155.1,0.0,24.54429531812725,24.54429531812725,24.5,0.0,'5558f3e9a',2024-05-08 17:00:55
167,k_real_densenet169_performance_cascade_plus,Cascade+,3,5,1,1,336.86536465979026,336.86536465979026,336.9,0.0,21.528415366146458,21.528415366146458,21.5,0.0,'5558f3e9a',2024-05-08 17:00:55
